,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,81.72,71,12,6.49,PF,1615770951
1,Longyearbyen,78.2186,15.6401,-0.4,71,20,10.36,SJ,1615770911
2,Saint-Philippe,-21.3585,55.7679,77.0,78,75,5.75,RE,1615770951
3,Codrington,-38.2667,141.9667,66.83,62,87,9.35,AU,1615770952
4,Kununurra,-15.7667,128.7333,77.0,100,100,6.91,AU,1615770952
5,Biak,-0.9131,122.8766,82.65,69,42,1.86,ID,1615770953
6,Mahenge,-8.6833,36.7167,62.35,96,94,1.61,TZ,1615770953
7,Ponta do Sol,32.6667,-17.1,55.99,67,100,3.0,PT,1615770953
8,Bluff,-46.6,168.3333,57.99,94,100,15.99,NZ,1615770854
9,Ushuaia,-54.8,-68.3,48.2,66,75,11.5,AR,1615770954
10,Upernavik,72.7868,-56.1549,-5.62,99,99,6.04,GL,1615770954
11,Hoquiam,46.9809,-123.8893,45.0,70,1,14.97,US,1615770955
12,Khatanga,71.9667,102.5,-20.42,94,100,11.12,RU,1615770955
13,Albany,42.6001,-73.9662,27.0,29,17,4.0,US,1615770744
14,Rosario,-32.9468,-60.6393,75.0,60,0,5.75,AR,1615770866
15,Vaini,-21.2,-175.2,75.2,94,75,12.66,TO,1615770956
16,Hithadhoo,-0.6,73.0833,84.06,63,100,5.99,MV,1615770956
17,Salym,60.0625,71.4789,14.13,95,100,7.74,RU,1615770957
18,Goderich,43.7501,-81.7165,26.6,59,0,12.66,CA,1615770675
19,Hermanus,-34.4187,19.2345,64.0,95,78,9.37,ZA,1615770782
20,Kalianget,-7.05,113.9333,82.31,72,94,2.68,ID,1615770957
21,Arraial do Cabo,-22.9661,-42.0278,77.13,84,100,15.86,BR,1615770958
22,Hong Kong,22.2855,114.1577,70.0,78,96,1.99,HK,1615770792
23,Caravelas,-17.7125,-39.2481,74.86,86,0,4.81,BR,1615770958
24,Tabas,33.5959,56.9244,50.25,31,100,5.59,IR,1615770959
25,Carnarvon,-24.8667,113.6333,86.0,62,0,4.61,AU,1615770959
26,Faridabad,28.4333,77.3167,64.4,82,0,3.44,IN,1615770959
27,Bethel,41.3712,-73.414,30.2,37,1,11.5,US,1615770959
28,Castro,-24.7911,-50.0119,64.6,81,40,3.2,BR,1615770960
29,Upata,8.0086,-62.3989,71.74,90,43,6.89,VE,1615770960
30,Cape Town,-33.9258,18.4232,68.0,88,90,18.41,ZA,1615770961
31,Vao,-22.6667,167.4833,77.07,77,0,15.52,NC,1615770961
32,Sambava,-14.2667,50.1667,76.08,86,66,6.15,MG,1615770961
33,Puerto Ayora,-0.7393,-90.3518,79.0,91,100,1.99,EC,1615770698
34,Phang Nga,8.4509,98.5298,78.8,78,20,4.61,TH,1615770962
35,Bredasdorp,-34.5322,20.0403,64.4,94,100,3.2,ZA,1615770962
36,Ayagoz,47.9714,80.4392,6.15,98,94,1.95,KZ,1615770963
37,Mar del Plata,-38.0023,-57.5575,70.0,88,0,3.44,AR,1615770963
38,Mataura,-46.1927,168.8643,57.0,93,100,18.01,NZ,1615770964
39,Baruun-Urt,46.6806,113.2792,16.07,26,0,22.21,MN,1615770964
40,Yellowknife,62.456,-114.3525,10.4,79,90,6.91,CA,1615770911
41,Northam,51.0333,-4.2167,48.99,93,2,5.99,GB,1615770965
42,Chokurdakh,70.6333,147.9167,-16.24,91,0,5.79,RU,1615770965
43,Clyde River,70.4692,-68.5914,-7.6,77,1,24.16,CA,1615770965
44,Avarua,-21.2078,-159.775,84.2,74,9,9.22,CK,1615770885
45,Kulhudhuffushi,6.6221,73.07,82.85,71,70,11.05,MV,1615770966
46,Marsaxlokk,35.8419,14.5431,57.0,82,20,16.11,MT,1615770966
47,Touros,-5.1989,-35.4608,78.8,83,20,3.44,BR,1615770967
48,Constitución,-35.3333,-72.4167,55.9,90,84,3.87,CL,1615770956
49,Chui,-33.6971,-53.4616,63.81,81,0,5.61,UY,1615770967
50,Souillac,-20.5167,57.5167,77.0,94,75,1.14,MU,1615770967
51,Lavrentiya,65.5833,-171.0,25.54,90,100,17.72,RU,1615770968
52,Busselton,-33.65,115.3333,68.0,54,0,8.01,AU,1615770968
53,Hobart,-42.8794,147.3294,69.8,43,40,14.97,AU,1615770803
54,Lebu,-37.6167,-73.65,55.53,93,1,3.09,CL,1615770969
55,Qaanaaq,77.484,-69.3632,-5.6,63,99,6.67,GL,1615770969
56,Dikson,73.5069,80.5464,-24.36,99,100,12.01,RU,1615770970
57,Saint Paul Harbor,57.79,-152.4072,33.8,75,90,9.22,US,1615770970
58,Atasū,48.6814,71.6433,-0.78,90,100,6.31,KZ,1615770970
59,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,40,9.22,CA,1615770971
60,Butaritari,3.0707,172.7902,81.32,79,25,14.88,KI,1615770971
61,San Patricio,28.017,-97.5169,63.0,72,75,8.05,US,1615770972
62,Mount Isa,-20.7333,139.5,78.8,57,2,12.66,AU,1615770972
63,Saldanha,-33.0117,17.9442,62.6,94,36,14.97,ZA,1615770972
64,Kruisfontein,-34.0033,24.7314,68.0,96,100,4.0,ZA,1615770973
65,Cullinan,-25.6709,28.5236,66.99,94,0,3.44,ZA,1615770973
66,Ilulissat,69.2167,-51.1,12.2,57,90,9.22,GL,1615770974
67,East London,-33.0153,27.9116,73.15,86,97,6.71,ZA,1615770871
